fund_name,sector,start_weight_pct,end_weight_pct,start_date,end_date
Baroda BNP MF,Telecom/Media,3.13,3.04,2026-04-01,2026-05-01
Canara Robeco MF,Aerospace & Defence,3.41,3.35,2026-04-01,2026-05-01
Canara Robeco MF,Auto & Auto Ancillaries,8.49,8.43,2026-04-01,2026-05-01
Canara Robeco MF,Banks,17.0,17.11,2026-04-01,2026-05-01
Canara Robeco MF,Building materials,3.92,4.0,2026-04-01,2026-05-01
Canara Robeco MF,Chemicals,1.69,1.64,2026-04-01,2026-05-01
Canara Robeco MF,Co-Working,0.27,0.29,2026-04-01,2026-05-01
Canara Robeco MF,Consumer Durables,2.03,1.89,2026-04-01,2026-05-01
Canara Robeco MF,Consumer Goods,8.94,8.85,2026-04-01,2026-05-01
Canara Robeco MF,Engineering & Capital Goods,4.97,4.84,2026-04-01,2026-05-01
Canara Robeco MF,Financial Services,2.3,2.1,2026-04-01,2026-05-01
Canara Robeco MF,Financial services/Insurance,7.53,8.06,2026-04-01,2026-05-01
Canara Robeco MF,Infra/Real estate,5.44,5.32,2026-04-01,2026-05-01
Canara Robeco MF,IT,11.12,11.2,2026-04-01,2026-05-01
Canara Robeco MF,Metals & Mining,1.05,1.06,2026-04-01,2026-05-01
Canara Robeco MF,Miscellaneous,5.16,5.38,2026-04-01,2026-05-01
Canara Robeco MF,Oil/Energy,2.75,2.63,2026-04-01,2026-05-01
Canara Robeco MF,Pharma/healthcare,7.15,7.49,2026-04-01,2026-05-01
Canara Robeco MF,Plywood Boards/Laminates,0.09,0.08,2026-04-01,2026-05-01
Canara Robeco MF,Power,2.73,2.44,2026-04-01,2026-05-01
Canara Robeco MF,Printing & Stationery,0.22,0.21,2026-04-01,2026-05-01
Canara Robeco MF,Quick Service Restaurant,0.48,0.41,2026-04-01,2026-05-01
Canara Robeco MF,Telecom/Media,3.25,3.23,2026-04-01,2026-05-01
DSP MF,Aerospace & Defence,0.35,0.46,2026-04-01,2026-05-01
DSP MF,Auto & Auto Ancillaries,10.32,10.0,2026-04-01,2026-05-01
DSP MF,Banks,20.31,20.97,2026-04-01,2026-05-01
DSP MF,Building materials,3.98,4.32,2026-04-01,2026-05-01
DSP MF,Chemicals,4.47,4.27,2026-04-01,2026-05-01
DSP MF,Consumer Durables,1.74,1.57,2026-04-01,2026-05-01
DSP MF,Consumer Goods,5.89,5.49,2026-04-01,2026-05-01
DSP MF,Engineering & Capital Goods,5.01,5.04,2026-04-01,2026-05-01
DSP MF,Financial Services,0.79,0.7,2026-04-01,2026-05-01
DSP MF,Financial services/Insurance,10.19,9.52,2026-04-01,2026-05-01
DSP MF,Infra/Real estate,3.73,3.9,2026-04-01,2026-05-01
DSP MF,IT,6.45,6.9,2026-04-01,2026-05-01
DSP MF,Metals & Mining,2.3,2.24,2026-04-01,2026-05-01
DSP MF,Miscellaneous,2.31,2.35,2026-04-01,2026-05-01
DSP MF,Oil/Energy,4.46,4.98,2026-04-01,2026-05-01
DSP MF,Pharma/healthcare,11.08,10.74,2026-04-01,2026-05-01
DSP MF,Plywood Boards/Laminates,0.9,0.78,2026-04-01,2026-05-01
DSP MF,Power,1.47,1.4,2026-04-01,2026-05-01
DSP MF,Quick Service Restaurant,0.22,0.2,2026-04-01,2026-05-01
DSP MF,Real Estate Investment Trusts,0.29,0.29,2026-04-01,2026-05-01
DSP MF,Telecom/Media,3.74,3.87,2026-04-01,2026-05-01
Edelweiss MF,Aerospace & Defence,2.48,2.55,2026-04-01,2026-05-01
Edelweiss MF,Auto & Auto Ancillaries,9.8,9.6,2026-04-01,2026-05-01
Edelweiss MF,Banks,16.0,14.92,2026-04-01,2026-05-01
Edelweiss MF,Building materials,3.83,4.04,2026-04-01,2026-05-01
Edelweiss MF,Chemicals,2.73,2.62,2026-04-01,2026-05-01
Edelweiss MF,Co-Working,0.06,0.06,2026-04-01,2026-05-01
Edelweiss MF,Consumer Durables,1.55,1.44,2026-04-01,2026-05-01
Edelweiss MF,Consumer Goods,7.64,7.46,2026-04-01,2026-05-01
Edelweiss MF,Engineering & Capital Goods,6.06,7.17,2026-04-01,2026-05-01
Edelweiss MF,Financial Services,3.81,3.88,2026-04-01,2026-05-01
Edelweiss MF,Financial services/Insurance,9.86,9.26,2026-04-01,2026-05-01
Edelweiss MF,Infra/Real estate,4.26,4.06,2026-04-01,2026-05-01
Edelweiss MF,IT,7.06,7.01,2026-04-01,2026-05-01
Edelweiss MF,IT - Hardware,0.05,0.16,2026-04-01,2026-05-01
Edelweiss MF,Metals & Mining,3.98,4.03,2026-04-01,2026-05-01
Edelweiss MF,Miscellaneous,1.92,2.21,2026-04-01,2026-05-01
Edelweiss MF,Oil/Energy,3.71,3.29,2026-04-01,2026-05-01
Edelweiss MF,Pharma/healthcare,8.42,9.01,2026-04-01,2026-05-01
Edelweiss MF,Plywood Boards/Laminates,0.35,0.33,2026-04-01,2026-05-01
Edelweiss MF,Power,2.35,2.67,2026-04-01,2026-05-01
Edelweiss MF,Quick Service Restaurant,0.47,0.4,2026-04-01,2026-05-01
Edelweiss MF,Real Estate Investment Trusts,0.13,0.24,2026-04-01,2026-05-01
Edelweiss MF,Telecom/Media,3.48,3.6,2026-04-01,2026-05-01
Fr.Templeton MF,Aerospace & Defence,2.85,3.43,2026-04-01,2026-05-01
Fr.Templeton MF,Auto & Auto Ancillaries,6.63,6.7,2026-04-01,2026-05-01
Fr.Templeton MF,Banks,20.48,19.88,2026-04-01,2026-05-01
Fr.Templeton MF,Building materials,3.84,4.57,2026-04-01,2026-05-01
Fr.Templeton MF,Chemicals,2.29,2.23,2026-04-01,2026-05-01
Fr.Templeton MF,Consumer Durables,2.46,2.25,2026-04-01,2026-05-01
Fr.Templeton MF,Consumer Goods,7.07,6.75,2026-04-01,2026-05-01
Fr.Templeton MF,Engineering & Capital Goods,4.44,4.62,2026-04-01,2026-05-01
Fr.Templeton MF,Financial services/Insurance,5.62,5.82,2026-04-01,2026-05-01
Fr.Templeton MF,Infra/Real estate,6.71,6.8,2026-04-01,2026-05-01
Fr.Templeton MF,IT,11.74,11.57,2026-04-01,2026-05-01
Fr.Templeton MF,Metals & Mining,2.47,2.49,2026-04-01,2026-05-01
Fr.Templeton MF,Miscellaneous,2.59,2.57,2026-04-01,2026-05-01
Fr.Templeton MF,Oil/Energy,4.77,4.47,2026-04-01,2026-05-01
Fr.Templeton MF,Pharma/healthcare,7.42,7.27,2026-04-01,2026-05-01
